ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,4,2024,A,Y,0,0,0
91901,4,2024,C,Y,0,0,0
91901,4,2024,I,Y,0,0,0
91901,4,2024,R,Y,2487,560527,225
91902,4,2024,A,Y,0,0,0
91902,4,2024,C,Y,0,0,0
91902,4,2024,I,Y,0,0,0
91902,4,2024,R,N,881,195424,222
91905,4,2024,A,Y,0,0,0
91905,4,2024,C,Y,0,0,0
91905,4,2024,I,Y,0,0,0
91905,4,2024,R,Y,0,0,0
91906,4,2024,A,Y,0,0,0
91906,4,2024,C,Y,0,0,0
91906,4,2024,I,Y,0,0,0
91906,4,2024,R,Y,542,31196,58
91910,4,2024,A,Y,0,0,0
91910,4,2024,C,Y,470,5293005,11262
91910,4,2024,I,Y,0,0,0
91910,4,2024,R,Y,6210,1272711,205
91911,4,2024,A,Y,0,0,0
91911,4,2024,C,Y,636,5295995,8327
91911,4,2024,I,Y,0,0,0
91911,4,2024,R,Y,5196,1115756,215
91912,4,2024,A,Y,0,0,0
91912,4,2024,C,Y,0,0,0
91912,4,2024,I,Y,0,0,0
91912,4,2024,R,Y,0,0,0
91913,4,2024,A,Y,0,0,0
91913,4,2024,C,Y,0,0,0
91913,4,2024,I,Y,0,0,0
91913,4,2024,R,N,5328,1113209,209
91914,4,2024,A,Y,0,0,0
91914,4,2024,C,Y,0,0,0
91914,4,2024,I,Y,0,0,0
91914,4,2024,R,N,741,93794,127
91915,4,2024,A,Y,0,0,0
91915,4,2024,C,Y,0,0,0
91915,4,2024,I,Y,0,0,0
91915,4,2024,R,Y,3267,760856,233
91916,4,2024,A,Y,0,0,0
91916,4,2024,C,Y,0,0,0
91916,4,2024,I,Y,0,0,0
91916,4,2024,R,Y,0,0,0
91917,4,2024,A,Y,0,0,0
91917,4,2024,C,Y,0,0,0
91917,4,2024,I,Y,0,0,0
91917,4,2024,R,Y,0,0,0
91931,4,2024,A,Y,0,0,0
91931,4,2024,C,Y,0,0,0
91931,4,2024,I,Y,0,0,0
91931,4,2024,R,Y,0,0,0
91932,4,2024,A,Y,0,0,0
91932,4,2024,C,N,116,425768,3670
91932,4,2024,I,Y,0,0,0
91932,4,2024,R,N,3330,635497,191
91934,4,2024,A,Y,0,0,0
91934,4,2024,C,Y,0,0,0
91934,4,2024,I,Y,0,0,0
91934,4,2024,R,Y,0,0,0
91935,4,2024,A,Y,0,0,0
91935,4,2024,C,Y,0,0,0
91935,4,2024,I,Y,0,0,0
91935,4,2024,R,N,583,85497,147
91941,4,2024,A,Y,0,0,0
91941,4,2024,C,Y,0,0,0
91941,4,2024,I,Y,0,0,0
91941,4,2024,R,N,2978,462839,155
91942,4,2024,A,Y,0,0,0
91942,4,2024,C,Y,0,0,0
91942,4,2024,I,Y,0,0,0
91942,4,2024,R,N,5770,1238360,215
91945,4,2024,A,Y,0,0,0
91945,4,2024,C,N,584,2633664,4510
91945,4,2024,I,Y,0,0,0
91945,4,2024,R,N,9076,1794086,198
91948,4,2024,A,Y,0,0,0
91948,4,2024,C,Y,0,0,0
91948,4,2024,I,Y,0,0,0
91948,4,2024,R,Y,0,0,0
91950,4,2024,A,Y,0,0,0
91950,4,2024,C,Y,476,5436808,11422
91950,4,2024,I,Y,0,0,0
91950,4,2024,R,Y,2723,790812,290
91962,4,2024,A,Y,0,0,0
91962,4,2024,C,Y,0,0,0
91962,4,2024,I,Y,0,0,0
91962,4,2024,R,Y,0,0,0
91963,4,2024,A,Y,0,0,0
91963,4,2024,C,Y,0,0,0
